"Name","Unmodelled (BP)",,,,,,"Modelled (BP)",,,,,,"Indices
Amodel 934.8
Aoverall 674.7",
,"from","to","%","from","to","%","from","to","%","from","to","%","Acomb","A","L","P","C",
"Curve IntCal20",,,,,,,,,,,,,,,,,,
"Sequence",,,,,,,,,,,,,,,,,,
"R_Date UtC-7117","10130","9785","68.26894800000001","10160","9730","95.449974","10035","9910","68.26894899999999","10085","9895","95.449974",,107.6,,,99.7,
"R_Date GrA-13662","10125","9770","68.26895","10160","9695","95.449974","10010","9895","68.26894899999999","10075","9880","95.449974",,104.3,,,99.7,
"R_Date UtC-8394","10120","9770","68.268948","10155","9705","95.449973","10005","9890","68.268949","10040","9865","95.449974",,98.7,,,99.7,
"R_Date Gif-8912","10130","9710","68.268949","10185","9555","95.449974","9960","9880","68.268949","10020","9850","95.449974",,111,,,99.8,
"R_Date GrA-23550","10120","9745","68.26894899999999","10180","9675","95.449974","9950","9870","68.268949","10005","9835","95.449974",,111,,,99.8,
"R_Date KIA-20470","10120","9755","68.268949","10155","9690","95.449974","9930","9855","68.268949","9965","9820","95.449974",,112.9,,,99.9,
"R_Date GrN-25745","10125","9735","68.268949","10180","9605","95.449973","9915","9845","68.268949","9950","9810","95.449974",,118.1,,,99.9,
"R_Date GrN-25744","10125","9695","68.26894899999999","10180","9555","95.449974","9905","9835","68.268949","9935","9800","95.449974",,121.5,,,99.8,
"R_Date KIA-38506","9905","9705","68.268949","10150","9665","95.449973","9895","9825","68.268949","9910","9790","95.449974",,128.9,,,99.8,
"R_Date RICH-23841","9905","9715","68.268949","10130","9665","95.449974","9880","9810","68.268949","9900","9780","95.449974",,130.3,,,99.8,
"R_Date UtC-9433","10120","9680","68.26894899999999","10155","9555","95.449974","9865","9795","68.268949","9890","9770","95.449974",,131.4,,,99.9,
"R_Date NZA-11025","10115","9685","68.26894899999999","10150","9555","95.449973","9850","9785","68.268949","9880","9760","95.449974",,136.2,,,99.9,
"R_Date UtC-4919","10115","9685","68.26894899999999","10150","9555","95.449973","9835","9770","68.268949","9865","9745","95.449974",,135.9,,,99.9,
"R_Date RICH-23838","9900","9710","68.268949","10125","9605","95.449974","9825","9760","68.268949","9855","9735","95.449974",,127.8,,,99.9,
"R_Date UtC-8396","9900","9710","68.268949","10125","9605","95.449973","9810","9750","68.268949","9840","9725","95.449974",,126.5,,,99.9,
"R_Date UtC-9454","10115","9680","68.26894899999999","10145","9555","95.449974","9795","9735","68.268949","9825","9715","95.449974",,134.5,,,99.9,
"R_Date NZA-11017","10115","9680","68.26894899999999","10145","9555","95.449974","9780","9725","68.268949","9810","9700","95.449974",,133.4,,,99.9,
"R_Date RICH-26076","9895","9700","68.26894899999999","10115","9555","95.449974","9765","9710","68.268949","9790","9695","95.449974",,123.7,,,99.9,
"R_Date UtC-8388","9890","9625","68.26894899999999","9900","9555","95.449974","9755","9700","68.268949","9780","9680","95.449974",,136,,,100,
"R_Date NZA-11248","9895","9555","68.26894899999999","10145","9540","95.449973","9740","9690","68.268949","9765","9670","95.449974",,129.4,,,99.9,
"R_Date UtC-7252","9890","9560","68.26894899999999","9895","9555","95.449974","9725","9675","68.268949","9755","9655","95.449974",,132.2,,,99.9,
"R_Date Gif-8911","9890","9550","68.26895","10125","9540","95.449973","9715","9665","68.268949","9740","9640","95.449974",,126.7,,,99.9,
"R_Date GrA-18829","9725","9545","68.268949","9895","9540","95.449973","9700","9650","68.268949","9720","9625","95.449974",,119.8,,,99.9,
"R_Date OxA-7615","9725","9545","68.268949","9895","9535","95.449974","9690","9640","68.268949","9705","9610","95.449974",,127,,,99.9,
"R_Date KIA-22633","9675","9550","68.268949","9885","9540","95.449973","9675","9625","68.268949","9690","9600","95.449974",,117.6,,,99.9,
"R_Date KIA-22632","9665","9550","68.26894899999999","9725","9540","95.449974","9665","9615","68.268949","9680","9590","95.449974",,106.4,,,99.9,
"R_Date RICH-26078","9665","9545","68.26894899999999","9735","9540","95.449974","9655","9605","68.268949","9670","9580","95.449974",,109.4,,,99.9,
"R_Date NZA-11249","9680","9545","68.268949","9890","9535","95.449974","9640","9590","68.268949","9660","9570","95.449974",,123.5,,,99.9,
"R_Date GrA-13407","9670","9545","68.268949","9885","9535","95.449974","9625","9580","68.268949","9650","9565","95.449974",,120.8,,,99.9,
"R_Date NZA-11009","9675","9540","68.268949","9890","9530","95.449974","9615","9570","68.268949","9635","9555","95.449974",,128.1,,,99.9,
"R_Date UtC-9457","9670","9540","68.268949","9890","9525","95.449974","9600","9560","68.268949","9620","9545","95.449974",,128.3,,,99.9,
"R_Date RICH-26077","9665","9540","68.268949","9705","9530","95.449974","9585","9550","68.268949","9605","9540","95.449974",,120.5,,,99.9,
"R_Date OxA-4929","9680","9535","68.268949","9890","9490","95.449973","9570","9540","68.268949","9595","9540","95.449974",,139,,,99.9,
"R_Date KIA-24034","9665","9535","68.268949","9880","9485","95.449973","9560","9540","68.268949","9580","9535","95.449974",,150.6,,,100,
"R_Date Beta-170947","9600","9495","68.26894899999999","9680","9485","95.449974","9550","9535","68.268949","9560","9530","95.449974",,172.2,,,100,
"R_Date RICH-26075","9595","9490","68.26894899999999","9665","9485","95.449974","9545","9530","68.268949","9555","9515","95.449974",,152.1,,,100,
"R_Date NZA-11247","9540","9480","68.268949","9660","9420","95.449973","9540","9510","68.268949","9545","9495","95.449974",,129.8,,,100,
"R_Date GrA-23537","9545","9465","68.268949","9660","9315","95.449974","9530","9495","68.268949","9535","9485","95.449974",,139.1,,,100,
"R_Date Beta-191693","9540","9485","68.268949","9550","9440","95.449974","9515","9480","68.268949","9530","9465","95.449974",,110.5,,,100,
"R_Date KIA-24454","9530","9480","68.268949","9540","9440","95.449974","9500","9465","68.268949","9515","9440","95.449974",,87.7,,,100,
"R_Date UtC-9222","9525","9315","68.26895","9535","9275","95.449974","9475","9425","68.268949","9490","9405","95.449974",,137.6,,,100,
"R_Date Beta-170948","9420","9275","68.268949","9450","9140","95.449974","9435","9395","68.268949","9460","9380","95.449974",,94.7,,,100,
"R_Date Beta-191694","9270","9030","68.268949","9400","9015","95.449974","9415","9380","68.268949","9435","9360","95.449974",,24.6,,,99.9,
"Boundary Early-Middle Mesolithic Transition",,,,,,,"9410","9365","68.268949","9430","9340","95.449974",,,,,99.9,
"Sequence Middle Mesolithic",,,,,,,,,,,,,,,,,,
"R_Date GrA-13390","9425","9285","68.268949","9465","9140","95.44997299999999","9390","9320","68.268949","9410","9280","95.449974",,122,,,100,
"R_Date Gif-9276","9425","9140","68.26895","9465","9030","95.449974","9360","9270","68.268949","9395","9220","95.449974",,117.1,,,100,
"R_Date UtC-2023","9410","9130","68.26894899999999","9455","9025","95.449974","9320","9220","68.268949","9365","9165","95.449974",,114.5,,,99.9,
"R_Date Gif-8705","9405","9030","68.268949","9465","9000","95.449974","9285","9180","68.268949","9320","9125","95.449974",,119.4,,,99.9,
"R_Date OxA-6203","9400","9015","68.26894899999999","9480","8780","95.44997399999998","9235","9125","68.268949","9285","9095","95.449974",,124.2,,,99.9,
"R_Date Beta-383251","9265","9030","68.26894999999999","9275","9025","95.449974","9205","9090","68.26894899999999","9260","9075","95.449974",,106.3,,,99.9,
"R_Date Beta-401970","9200","9025","68.268949","9270","9015","95.449974","9140","9070","68.268949","9205","9030","95.449974",,114.3,,,99.9,
